OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 106,2017-003A,2026-09-10T13:29:09.948480,14.34217213,.00019166,86.3932,52.8325,82.2654,277.8760,0,U,41917,999,50544,-.3974074E-5,.9E-7,0
IRIDIUM 103,2017-003B,2026-09-10T11:30:25.985952,14.34217353,.00023304,86.3933,52.7663,90.6366,269.5097,0,U,41918,999,50545,.51018311E-4,.163E-5,0
IRIDIUM 109,2017-003C,2026-09-10T11:39:33.958080,14.34218194,.00021889,86.3934,52.8246,90.7972,269.3475,0,U,41919,999,50542,.2683824E-5,.27E-6,0
IRIDIUM 102,2017-003D,2026-09-10T12:34:22.307520,14.34217628,.00020869,86.3932,52.7303,90.4379,269.7056,0,U,41920,999,50551,.2996194E-5,.28E-6,0
IRIDIUM 105,2017-003E,2026-09-10T14:55:41.206080,14.34218632,.00022863,86.4002,21.1388,99.2323,260.9131,0,U,41921,999,50738,.50667875E-4,.162E-5,0
IRIDIUM 104,2017-003F,2026-09-10T12:52:39.862272,14.34217503,.00024094,86.3934,52.7689,95.8353,264.3118,0,U,41922,999,50550,.43016996E-4,.14E-5,0
IRIDIUM 114,2017-003G,2026-09-10T11:21:18.232416,14.34217626,.00022547,86.3933,52.7784,91.0662,269.0792,0,U,41923,999,50547,.388337E-5,.31E-6,0
IRIDIUM 108,2017-003H,2026-09-10T10:21:34.333632,14.34217162,.00021204,86.3996,21.1031,95.1914,264.9524,0,U,41924,999,50732,.10845082E-4,.5E-6,0
IRIDIUM 112,2017-003J,2026-09-10T12:43:30.493920,14.34217132,.00021713,86.3929,52.5925,92.7675,267.3769,0,U,41925,999,50550,-.511806E-6,.18E-6,0
IRIDIUM 111,2017-003K,2026-09-10T12:25:14.090880,14.34216766,.0002055,86.3931,52.6708,89.8452,270.2979,0,U,41926,999,50548,-.23005845E-4,-.45E-6,0
IRIDIUM 113,2017-039A,2026-09-10T11:56:23.175744,14.34217948,.00023365,86.3929,286.5217,94.3214,265.8249,0,U,42803,999,48341,.12216163E-4,.54E-6,0
IRIDIUM 123,2017-039B,2026-09-10T12:56:06.806688,14.34217151,.00023285,86.3990,317.9801,91.0561,269.0901,0,U,42804,999,48218,.6281201E-5,.37E-6,0
IRIDIUM 120,2017-039C,2026-09-10T11:47:15.127584,14.34217652,.00020622,86.3918,286.2953,90.1619,269.9813,0,U,42805,999,48340,-.1078923E-5,.17E-6,0
